episode,steps,reward,avg_reward_100,success_rate_100,epsilon,avg_loss,aligned
1,800,-780956.1515,-780956.1515,0.0000,0.9985,0.000000,0
2,800,-465100.3891,-623028.2703,0.0000,0.9970,0.000000,0
3,800,-830087.3859,-692047.9755,0.0000,0.9954,0.000000,0
4,800,-402287.3632,-619607.8224,0.0000,0.9939,0.000000,0
5,800,-11068.6196,-497899.9819,0.0000,0.9924,0.000000,0
6,800,-1274.7133,-415129.1038,0.0000,0.9909,0.000000,0
7,800,-792600.4563,-469053.5827,0.0000,0.9894,627.251295,0
8,800,-259660.0416,-442879.3901,0.0000,0.9878,821.792413,0
9,800,-801367.4802,-482711.4001,0.0000,0.9863,773.576766,0
10,800,-396498.9593,-474090.1560,0.0000,0.9848,645.633127,0
11,800,-345370.0767,-462388.3306,0.0000,0.9833,634.043577,0
12,800,-3626.3193,-424158.1630,0.0000,0.9818,620.600181,0
13,800,-800754.1491,-453127.0850,0.0000,0.9802,587.453845,0
14,800,3630.8355,-420501.5193,0.0000,0.9787,587.285429,0
15,800,-790490.7147,-445167.4656,0.0000,0.9772,580.110466,0
16,800,-742783.3429,-463768.4579,0.0000,0.9757,588.480617,0
17,800,-1409.3992,-436570.8663,0.0000,0.9742,582.692756,0
18,800,-799404.5981,-456728.2958,0.0000,0.9726,586.094904,0
19,800,4095.8742,-432474.3921,0.0000,0.9711,583.427047,0
20,800,-798630.7013,-450782.2076,0.0000,0.9696,535.734019,0
21,800,511.1846,-429292.0461,0.0000,0.9681,487.198319,0
22,800,-4595.9190,-409987.6766,0.0000,0.9666,513.827295,0
23,800,1199.8812,-392109.9567,0.0000,0.9650,467.994536,0
24,800,7297.6373,-375467.9736,0.0000,0.9635,448.283810,0
25,800,5034.8370,-360247.8612,0.0000,0.9620,441.237901,0
26,800,-378808.6304,-360961.7370,0.0000,0.9605,445.423113,0
27,800,8613.4759,-347273.7661,0.0000,0.9590,440.260805,0
28,800,-366393.7785,-347956.6237,0.0000,0.9574,437.790385,0
29,800,12037.1849,-335543.0441,0.0000,0.9559,430.233649,0
30,800,-273691.0623,-333481.3114,0.0000,0.9544,446.875129,0
31,800,-556663.5408,-340680.7381,0.0000,0.9529,462.484079,0
32,800,-796834.8499,-354935.5541,0.0000,0.9514,481.396474,0
33,800,-798733.5927,-368383.9795,0.0000,0.9498,475.103266,0
34,800,-800590.0000,-381095.9213,0.0000,0.9483,493.192186,0
35,800,13706.5678,-369815.8502,0.0000,0.9468,478.845089,0
36,800,16458.0698,-359086.0191,0.0000,0.9453,477.228077,0
37,800,-2707.0580,-349454.1553,0.0000,0.9438,461.137821,0
38,800,7710.1713,-340055.0940,0.0000,0.9422,461.088431,0
39,800,7307.2801,-331148.3665,0.0000,0.9407,441.147454,0
40,800,-794282.9026,-342726.7299,0.0000,0.9392,424.490161,0
41,800,-582854.4728,-348583.5041,0.0000,0.9377,463.075077,0
42,800,3285.6233,-340205.6677,0.0000,0.9362,473.220846,0
43,800,9649.2426,-332069.5070,0.0000,0.9346,443.259059,0
44,800,-788382.9505,-342440.2671,0.0000,0.9331,430.741430,0
45,800,-709621.4395,-350599.8487,0.0000,0.9316,461.266998,0
46,800,-788665.1329,-360123.0071,0.0000,0.9301,478.392927,0
47,800,-93665.1849,-354453.6917,0.0000,0.9286,497.493247,0
48,800,4464.1013,-346976.2377,0.0000,0.9270,486.517606,0
49,800,-800445.0000,-356230.7022,0.0000,0.9255,488.144320,0
50,800,15714.0865,-348791.8065,0.0000,0.9240,508.568936,0
51,800,-2529.3444,-342002.3464,0.0000,0.9225,498.162414,0
52,800,-350869.7573,-342172.8736,0.0000,0.9210,482.841165,0
53,800,-765106.1313,-350152.7463,0.0000,0.9194,510.543638,0
54,800,-804273.1722,-358562.3839,0.0000,0.9179,507.256054,0
55,800,-791658.8524,-366436.8651,0.0000,0.9164,517.983154,0
56,800,-768485.1012,-373616.2979,0.0000,0.9149,517.596201,0
57,800,-504661.7171,-375915.3403,0.0000,0.9134,555.345635,0
58,800,-99594.5891,-371151.1894,0.0000,0.9118,550.538950,0
59,800,14361.1826,-364617.0814,0.0000,0.9103,538.080578,0
60,800,-791278.8909,-371728.1116,0.0000,0.9088,520.010174,0
61,800,-799625.9790,-378742.8307,0.0000,0.9073,541.887798,0
62,800,-449.3506,-372641.3230,0.0000,0.9058,528.514256,0
63,800,17127.1569,-366454.5217,0.0000,0.9042,499.436400,0
64,800,-800540.0000,-373237.1073,0.0000,0.9027,508.129690,0
65,800,10290.6049,-367336.6810,0.0000,0.9012,497.445121,0
66,800,-778671.6398,-373569.0288,0.0000,0.8997,491.091180,0
67,800,-765497.8193,-379418.7123,0.0000,0.8982,494.670101,0
68,800,-140789.3297,-375909.4567,0.0000,0.8966,479.957332,0
69,800,-1045.4185,-370476.6445,0.0000,0.8951,483.871041,0
70,800,6377.4067,-365093.0152,0.0000,0.8936,464.352411,0
71,800,-756383.7565,-370604.1524,0.0000,0.8921,449.825174,0
72,800,5814.0947,-365376.1212,0.0000,0.8906,449.555876,0
73,800,33113.8262,-359917.3548,0.0000,0.8890,468.605907,0
74,800,-106480.9164,-356492.5381,0.0000,0.8875,453.357482,0
75,800,-800590.0000,-362413.8376,0.0000,0.8860,443.018741,0
76,800,1262.9284,-357628.6170,0.0000,0.8845,432.894212,0
77,800,5491.9330,-352912.7657,0.0000,0.8830,412.927263,0
78,800,-453406.1431,-354201.1423,0.0000,0.8814,449.824520,0
79,800,-767794.5783,-359436.5022,0.0000,0.8799,432.070434,0
